ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,AcceptedCmp6,Age,Age_Category,Income_Category,Total_Children,Total_Amount,Length,Frequency,Monetary,lrfm_score_total,lrfm_segment,DominantChannel
2114,1946,Graduate,Single,82800.0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,0,0,1,1,0,1,66,Senior,High,0,1315,679,25,1315,19,Diamond,NumStorePurchases
9736,1980,Graduate,Coupled,41850.0,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,0,0,0,0,0,0,32,Young,Medium,2,96,649,6,96,11,Silver,NumWebPurchases
4939,1946,Graduate,Coupled,37760.0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,0,0,0,0,0,0,66,Senior,Medium,0,317,764,11,317,15,Platinum,NumStorePurchases
6565,1949,Graduate,Coupled,76995.0,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,0,0,0,1,0,0,64,Senior,High,1,1782,555,24,1782,15,Platinum,NumWebPurchases
2278,1985,Graduate,Single,33812.0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,0,0,0,0,0,0,27,Young,Low,1,133,700,6,133,10,Silver,NumStorePurchases
9360,1982,Graduate,Coupled,37040.0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,0,0,0,0,0,0,30,Young,Medium,0,316,787,11,316,14,Platinum,NumStorePurchases
5376,1979,Graduate,Coupled,2447.0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,0,0,0,0,0,0,34,Young,Low,1,1730,636,28,1730,17,Diamond,NumCatalogPurchases
1993,1949,Graduate,Coupled,58607.0,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,0,1,0,0,0,0,63,Senior,Medium,1,972,650,14,972,13,Gold,NumStorePurchases
4047,1954,Graduate,Coupled,65324.0,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,0,0,0,0,0,0,60,Senior,Medium,1,544,266,17,544,14,Platinum,NumStorePurchases
1409,1951,Graduate,Coupled,40689.0,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,0,0,0,0,0,0,62,Senior,Medium,1,444,565,13,444,12,Gold,NumWebPurchases
7892,1969,Graduate,Single,18589.0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,0,0,0,0,0,0,44,Adult,Low,0,75,640,6,75,9,Silver,NumStorePurchases
2404,1976,Graduate,Coupled,53359.0,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,0,0,0,0,0,0,37,Adult,Medium,2,257,495,10,257,14,Platinum,NumWebPurchases
9422,1989,Graduate,Coupled,38360.0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,0,0,0,0,0,0,24,Young,Medium,1,131,491,7,131,11,Silver,NumStorePurchases
1966,1965,Graduate,Coupled,84618.0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,0,0,1,0,0,0,48,Adult,High,0,1672,316,25,1672,13,Gold,NumStorePurchases
6864,1989,Graduate,Single,10979.0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,0,0,0,0,0,0,25,Young,Low,0,30,135,6,30,8,Silver,NumWebPurchases
3033,1963,Graduate,Coupled,38620.0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,0,0,0,0,0,0,50,Adult,Medium,0,318,511,10,318,12,Gold,NumCatalogPurchases
5710,1970,Graduate,Coupled,40548.0,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,0,1,0,0,0,0,42,Adult,Medium,1,120,724,7,120,13,Gold,NumStorePurchases
7373,1952,Graduate,Single,46610.0,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,0,0,0,0,0,1,60,Senior,Medium,2,302,705,11,302,16,Platinum,NumStorePurchases
8755,1946,Graduate,Coupled,68657.0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,0,0,0,0,0,0,67,Senior,High,0,1196,591,17,1196,18,Diamond,NumStorePurchases
10738,1951,Graduate,Single,49389.0,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,0,0,0,0,0,0,62,Senior,Medium,2,65,401,5,65,9,Silver,NumStorePurchases
4339,1970,Graduate,Coupled,67353.0,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,0,0,0,0,0,0,43,Adult,Medium,1,913,277,23,913,15,Platinum,NumStorePurchases
10755,1976,Graduate,Coupled,23718.0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,0,0,0,0,0,0,37,Adult,Low,1,81,397,6,81,9,Silver,NumWebPurchases
8595,1973,Graduate,Single,42429.0,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,0,0,0,0,0,0,41,Adult,Medium,1,67,235,5,67,5,Bronze,NumStorePurchases
2968,1943,Graduate,Single,48948.0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,1,0,0,0,0,1,70,Senior,Medium,0,902,610,22,902,16,Platinum,NumCatalogPurchases
8601,1980,Graduate,Coupled,80011.0,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,0,0,0,0,0,0,33,Young,High,1,1395,523,19,1395,18,Diamond,NumWebPurchases
503,1985,Graduate,Coupled,20559.0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,0,0,0,0,0,0,28,Young,Low,1,53,571,5,53,7,Bronze,NumStorePurchases
8430,1957,Graduate,Coupled,21994.0,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,0,0,0,0,0,0,55,Senior,Low,1,22,649,3,22,11,Silver,NumStorePurchases
2139,1975,Graduate,Coupled,7500.0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,0,0,0,0,0,0,38,Adult,Low,1,31,367,5,31,9,Silver,NumStorePurchases
1371,1976,Graduate,Single,79941.0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,0,0,0,0,0,0,38,Adult,High,0,984,98,15,984,10,Silver,NumStorePurchases
9909,1996,Graduate,Coupled,7500.0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,0,0,0,0,0,1,16,Young,Low,0,122,694,7,122,13,Gold,NumWebPurchases
7286,1968,Graduate,Coupled,41728.0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,0,0,0,0,0,0,45,Adult,Medium,1,55,498,4,55,6,Bronze,NumWebPurchases
6566,1954,Graduate,Coupled,72550.0,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,0,0,0,0,0,0,58,Senior,High,2,1319,695,19,1319,18,Diamond,NumStorePurchases
8614,1957,Graduate,Single,65486.0,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,0,0,0,0,0,0,57,Senior,Medium,1,507,145,16,507,12,Gold,NumStorePurchases
4114,1964,Graduate,Coupled,79143.0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,0,0,0,0,0,0,48,Adult,High,0,1693,784,28,1693,20,Diamond,NumStorePurchases
1331,1977,Graduate,Single,35790.0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,0,0,0,0,0,0,36,Young,Medium,1,72,640,5,72,10,Silver,NumStorePurchases
2225,1977,Graduate,Single,82582.0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,0,0,1,0,1,37,Adult,High,0,1617,119,20,1617,13,Gold,NumCatalogPurchases
9381,1978,Graduate,Coupled,66373.0,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,0,0,0,0,0,0,35,Young,Medium,2,606,479,16,606,13,Gold,NumStorePurchases
6260,1955,Graduate,Coupled,82384.0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,0,0,1,0,0,1,57,Senior,High,0,1957,684,26,1957,18,Diamond,NumStorePurchases
10383,1966,Graduate,Single,70287.0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,0,0,0,0,0,1,47,Adult,High,0,1093,550,20,1093,16,Platinum,NumStorePurchases
7437,1988,Graduate,Single,27938.0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,0,0,0,0,0,0,26,Young,Low,1,29,159,5,29,7,Bronze,NumStorePurchases
8375,1968,Graduate,Coupled,55954.0,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,0,0,0,0,0,0,46,Adult,Medium,1,518,215,16,518,10,Silver,NumWebPurchases
6853,1982,Graduate,Single,75777.0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,0,1,1,0,0,1,31,Young,High,0,1438,457,20,1438,17,Diamond,NumStorePurchases
3076,1975,Graduate,Coupled,66653.0,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,0,0,0,0,0,0,37,Adult,Medium,2,612,757,18,612,17,Diamond,NumStorePurchases
1012,1952,Graduate,Single,61823.0,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,0,0,0,0,0,0,61,Senior,Medium,1,884,593,20,884,16,Platinum,NumStorePurchases
6518,1951,Graduate,Single,67680.0,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,0,0,0,0,0,0,62,Senior,Medium,1,606,480,18,606,15,Platinum,NumStorePurchases
4137,1948,Graduate,Coupled,70666.0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,0,0,0,0,0,0,65,Senior,High,0,1076,302,15,1076,13,Gold,NumWebPurchases
8082,1971,Graduate,Coupled,25721.0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,0,0,0,0,0,1,42,Adult,Low,1,34,501,4,34,7,Bronze,NumStorePurchases
1386,1967,Graduate,Coupled,32474.0,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,47,Adult,Low,2,11,146,3,11,8,Silver,NumStorePurchases
9369,1979,Graduate,Single,88194.0,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,1,0,0,1,0,1,35,Young,High,1,1274,199,31,1274,16,Platinum,NumWebPurchases
4477,1958,Graduate,Coupled,69096.0,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,0,0,0,0,0,0,55,Senior,High,1,653,372,17,653,15,Platinum,NumStorePurchases
1357,1970,Graduate,Coupled,74854.0,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,0,0,0,0,0,0,43,Adult,High,3,1562,544,12,1562,13,Gold,NumCatalogPurchases
1402,1954,Graduate,Coupled,66991.0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,0,0,0,0,0,0,58,Senior,Medium,0,1253,753,18,1253,19,Diamond,NumCatalogPurchases
6312,1959,Graduate,Coupled,65031.0,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,0,0,0,0,0,0,54,Adult,Medium,1,863,566,26,863,17,Diamond,NumStorePurchases
8132,1975,Graduate,Coupled,60631.0,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,0,1,0,0,0,0,38,Adult,Medium,2,661,547,19,661,13,Gold,NumWebPurchases
1050,1952,Graduate,Coupled,28332.0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,0,0,0,0,0,0,62,Senior,Low,0,65,157,7,65,8,Silver,NumStorePurchases
5846,1977,Graduate,Single,40246.0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,0,0,0,0,0,0,35,Young,Medium,1,13,654,3,13,8,Silver,NumStorePurchases
1859,1972,Graduate,Coupled,75251.0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,0,0,0,0,0,1,40,Adult,High,0,1890,768,18,1890,18,Diamond,NumWebPurchases
7503,1976,Graduate,Single,75825.0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,1,0,0,0,0,1,36,Young,High,0,2209,722,22,2209,18,Diamond,NumStorePurchases
10401,1976,Graduate,Coupled,26326.0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,0,0,0,0,0,0,37,Adult,Low,0,18,395,3,18,10,Silver,NumStorePurchases
1618,1965,Graduate,Coupled,56046.0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,1,0,0,0,0,1,48,Adult,Medium,0,692,640,19,692,17,Diamond,NumWebPurchases
3332,1985,Graduate,Single,29760.0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,0,0,0,0,0,0,27,Young,Low,1,165,766,8,165,10,Silver,NumStorePurchases
2261,1969,Graduate,Coupled,26304.0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,0,0,0,0,0,0,44,Adult,Low,1,16,468,3,16,10,Silver,NumStorePurchases
5346,1973,Graduate,Coupled,23559.0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,0,0,0,0,0,0,40,Adult,Low,1,79,458,6,79,8,Silver,NumWebPurchases
4119,1963,Graduate,Coupled,38620.0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,0,0,0,0,0,0,50,Adult,Medium,0,318,511,10,318,12,Gold,NumCatalogPurchases
535,1987,Graduate,Single,81361.0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,0,0,0,0,0,0,27,Young,High,0,778,221,26,778,15,Platinum,NumStorePurchases
5268,1960,Graduate,Coupled,29440.0,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,0,0,0,0,0,0,53,Adult,Low,2,56,419,5,56,7,Bronze,NumStorePurchases
273,1970,Graduate,Coupled,36138.0,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,0,1,0,0,0,0,43,Adult,Medium,2,151,445,8,151,10,Silver,NumStorePurchases
4452,1957,Graduate,Single,50388.0,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,0,1,0,1,0,1,57,Senior,Medium,1,372,129,13,372,12,Gold,NumWebPurchases
8504,1973,Graduate,Coupled,79593.0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,0,0,1,0,0,0,41,Adult,High,0,1366,145,18,1366,12,Gold,NumStorePurchases
771,1967,Graduate,Coupled,54178.0,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,0,0,0,0,0,0,47,Adult,Medium,1,194,256,9,194,8,Silver,NumStorePurchases
11178,1972,Graduate,Single,42394.0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,0,0,0,0,0,0,42,Adult,Medium,1,32,195,4,32,5,Bronze,NumStorePurchases
2230,1970,Graduate,Coupled,23626.0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,0,0,0,0,0,0,44,Adult,Low,1,43,133,7,43,5,Bronze,NumWebPurchases
7516,1983,Graduate,Coupled,30096.0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,0,0,0,0,0,0,31,Young,Low,1,45,135,5,45,7,Bronze,NumStorePurchases
7247,1960,Graduate,Single,47916.0,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,0,1,0,0,0,0,52,Adult,Medium,1,606,681,17,606,14,Platinum,NumWebPurchases
11100,1972,Graduate,Single,51813.0,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,0,0,0,0,0,0,41,Adult,Medium,2,63,541,5,63,11,Silver,NumStorePurchases
4646,1951,Graduate,Coupled,78497.0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,0,0,0,1,0,0,62,Senior,High,0,978,307,24,978,14,Platinum,NumStorePurchases
3037,1983,Graduate,Coupled,50150.0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,0,0,0,0,0,0,30,Young,Medium,0,410,471,14,410,13,Gold,NumStorePurchases
1473,1960,Graduate,Single,47823.0,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,0,0,0,0,0,0,53,Adult,Medium,1,72,438,5,72,11,Silver,NumStorePurchases
1016,1959,Graduate,Single,34554.0,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,0,0,0,0,0,0,55,Senior,Low,1,55,188,5,55,6,Bronze,NumStorePurchases
4518,1979,Graduate,Coupled,85693.0,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,0,0,0,0,0,0,34,Young,High,1,1169,532,25,1169,15,Platinum,NumStorePurchases
9370,1945,Graduate,Coupled,65846.0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,0,0,0,0,0,0,68,Senior,Medium,0,1120,505,15,1120,12,Gold,NumWebPurchases
8908,1959,Graduate,Coupled,87195.0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,0,0,0,0,0,1,55,Senior,High,0,1097,149,19,1097,13,Gold,NumCatalogPurchases
8373,1979,Non-Graduate,Coupled,24594.0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,0,0,0,0,0,0,34,Young,Low,1,29,298,4,29,5,Bronze,NumStorePurchases
7533,1964,Graduate,Coupled,49096.0,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,0,0,0,0,0,0,49,Adult,Medium,2,187,375,9,187,11,Silver,NumWebPurchases
2683,1969,Graduate,Coupled,52413.0,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,0,0,0,0,0,0,44,Adult,Medium,2,910,609,22,910,16,Platinum,NumStorePurchases
3629,1978,Graduate,Single,38557.0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,0,0,0,0,0,0,34,Young,Medium,1,145,654,7,145,13,Gold,NumWebPurchases
10991,1960,Graduate,Coupled,89058.0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,0,0,0,0,0,0,52,Adult,High,0,850,666,13,850,17,Diamond,NumWebPurchases
5077,1979,Graduate,Coupled,77298.0,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,0,0,0,0,0,0,34,Young,High,1,969,336,23,969,14,Platinum,NumStorePurchases
7431,1991,Graduate,Single,68126.0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,0,1,0,0,0,1,21,Young,Medium,0,1820,693,16,1820,17,Diamond,NumWebPurchases
3267,1963,Graduate,Coupled,57288.0,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,0,1,0,0,0,0,51,Adult,Medium,1,608,101,17,608,12,Gold,NumWebPurchases
999,1991,Graduate,Single,86037.0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,0,1,1,0,0,1,22,Young,High,0,730,640,24,730,14,Platinum,NumStorePurchases
9215,1980,Graduate,Coupled,43974.0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,0,0,0,0,0,0,32,Young,Medium,1,551,661,16,551,16,Platinum,NumWebPurchases
2286,1962,Graduate,Single,50785.0,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,0,0,0,0,0,0,51,Adult,Medium,2,114,389,6,114,11,Silver,NumStorePurchases
1592,1970,Graduate,Coupled,90765.0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,0,0,1,1,0,0,44,Adult,High,0,1724,253,15,1724,14,Platinum,NumCatalogPurchases
367,1978,Graduate,Coupled,36550.0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,0,0,0,0,0,0,35,Young,Medium,1,577,592,15,577,12,Gold,NumWebPurchases
5234,1967,Graduate,Coupled,30753.0,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,0,0,0,0,0,0,46,Adult,Low,2,81,450,5,81,7,Bronze,NumStorePurchases
9862,1969,Graduate,Coupled,21918.0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,0,0,0,0,0,0,44,Adult,Low,1,33,324,5,33,8,Silver,NumStorePurchases
9805,1953,Graduate,Coupled,56129.0,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,0,0,0,0,0,0,60,Senior,Medium,1,660,471,18,660,13,Gold,NumStorePurchases
6205,1967,Graduate,Single,32557.0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,0,0,0,0,0,1,47,Adult,Low,1,80,222,6,80,10,Silver,NumStorePurchases
8442,1985,Graduate,Coupled,19510.0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,0,0,0,0,0,0,28,Young,Low,2,30,395,4,30,7,Bronze,NumStorePurchases
7386,1976,Graduate,Single,30992.0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,0,0,0,0,0,0,37,Adult,Low,1,43,530,4,43,7,Bronze,NumStorePurchases
7215,1983,Graduate,Single,101970.0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,0,1,1,1,0,1,30,Young,High,0,1135,571,27,1135,15,Platinum,NumStorePurchases
1491,1965,Graduate,Coupled,71488.0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,0,0,0,0,0,0,48,Adult,High,0,559,593,14,559,11,Silver,NumStorePurchases
11071,1984,Graduate,Single,79607.0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,0,0,0,0,0,1,29,Young,High,0,1923,531,15,1923,16,Platinum,NumCatalogPurchases
3381,1953,Graduate,Coupled,54348.0,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,0,0,0,0,0,0,61,Senior,Medium,2,90,118,6,90,8,Silver,NumStorePurchases
11051,1956,Graduate,Coupled,77376.0,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,0,0,0,0,0,0,58,Senior,High,2,661,147,19,661,11,Silver,NumStorePurchases
8026,1952,Graduate,Coupled,62998.0,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,0,0,0,0,0,0,61,Senior,Medium,1,463,369,14,463,13,Gold,NumWebPurchases
433,1958,Graduate,Single,61331.0,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,0,0,0,0,0,0,55,Senior,Medium,2,632,573,18,632,14,Platinum,NumWebPurchases
9597,1969,Graduate,Coupled,73448.0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,0,0,0,0,0,0,45,Adult,High,0,725,236,18,725,14,Platinum,NumStorePurchases
5290,1964,Graduate,Coupled,41551.0,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,0,0,0,0,0,0,49,Adult,Medium,2,279,416,11,279,12,Gold,NumWebPurchases
1685,1967,Graduate,Coupled,62981.0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,0,1,0,0,0,0,46,Adult,Medium,0,1482,566,22,1482,18,Diamond,NumStorePurchases
5342,1976,Non-Graduate,Single,9548.0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,0,0,0,0,0,0,36,Young,Low,1,29,787,4,29,11,Silver,NumStorePurchases
9579,1959,Graduate,Coupled,33762.0,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,0,0,0,0,0,0,54,Adult,Low,3,106,454,6,106,9,Silver,NumWebPurchases
7660,1973,Graduate,Single,35860.0,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,1,0,0,0,0,1,41,Adult,Medium,2,49,138,4,49,7,Bronze,NumStorePurchases
1461,1965,Graduate,Single,36921.0,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,0,0,0,0,0,0,48,Adult,Medium,2,38,433,5,38,7,Bronze,NumStorePurchases
821,1992,Graduate,Single,92859.0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,0,0,0,0,0,0,20,Young,High,0,2077,715,21,2077,18,Diamond,NumStorePurchases
11084,1976,Graduate,Coupled,65104.0,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,0,0,0,0,0,1,37,Adult,Medium,1,1053,324,15,1053,14,Platinum,NumStorePurchases
8690,1962,Graduate,Coupled,86111.0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,0,0,0,0,0,0,51,Adult,High,0,1385,533,22,1385,16,Platinum,NumStorePurchases
2937,1974,Graduate,Single,68352.0,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,0,0,0,0,0,0,39,Adult,Medium,1,871,402,22,871,15,Platinum,NumStorePurchases
9701,1988,Graduate,Coupled,41883.0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,0,0,0,0,0,0,25,Young,Medium,1,312,564,9,312,14,Platinum,NumWebPurchases
9949,1976,Graduate,Coupled,59809.0,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,0,0,0,0,0,0,36,Young,Medium,2,877,716,12,877,16,Platinum,NumStorePurchases
10837,1975,Graduate,Coupled,23957.0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,0,0,0,0,0,1,37,Adult,Low,1,68,706,5,68,11,Silver,NumStorePurchases
3120,1981,Graduate,Coupled,38547.0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,0,0,0,0,0,0,32,Young,Medium,1,22,402,3,22,8,Silver,NumStorePurchases
5885,1973,Graduate,Coupled,35688.0,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,0,0,0,0,0,0,39,Adult,Medium,3,211,773,9,211,11,Silver,NumWebPurchases
4050,1966,Graduate,Coupled,49605.0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,0,0,0,0,0,0,48,Adult,Medium,0,127,105,7,127,7,Bronze,NumStorePurchases
3830,1953,Graduate,Coupled,59354.0,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,0,0,0,0,0,0,61,Senior,Medium,2,459,163,15,459,9,Silver,NumStorePurchases
